preset,entry_time,exit_time,side,size,entry_bar,exit_bar,bars_in_trade,entry_price,exit_price,pnl_real,status,last_leg_status,risk_pts,mfe_r,mae_r,first_fast_cross_bar,first_hw_after_fast_bar,first_contra_flip_bar,bars_fast_to_exit,bars_fast_to_hw,pnl_at_fast_cross,pnl_at_hw_cross,pnl_at_canal_flip,delta_hw_minus_fast,delta_flip_minus_real,canal_green_at_fast,canal_green_at_exit,gave_back_after_mfe,hour_of_entry,hour_of_exit
MNQ_v5,2025-01-06 01:24:00+01:00,2025-01-06 06:18:00+01:00,Short,3.0,12,54,42,21499.5,21537.5,-230.22,Stop Loss,Stop Loss,38.0,0.546,-1.079,,,22.0,,,,,64.56,,294.78,,True,True,1,6
MNQ_v5,2025-01-07 03:58:00+01:00,2025-01-07 11:47:00+01:00,Short,2.0,232,299,67,21728.5,21765.0,-147.48,Canal Exit,Canal Exit,57.25,1.214,-0.808,296.0,299.0,241.0,3.0,3.0,-157.96,-148.96,-42.96,9.0,104.52,False,True,True,3,11
MNQ_v5,2025-01-07 15:52:00+01:00,2025-01-07 16:34:00+01:00,Short,1.0,334,340,6,21711.25,21432.0,557.76,Canal Exit,Canal Exit,95.0,3.063,-0.882,338.0,340.0,,2.0,2.0,158.02,557.02,,399.0,,False,False,False,15,16
MNQ_v5,2025-01-07 19:50:00+01:00,2025-01-07 21:56:00+01:00,Short,1.0,368,386,18,21430.25,21359.5,140.76,Auto-Close (profit),Auto-Close (profit),87.25,1.728,-0.51,386.0,,,0.0,,100.02,,,,,False,False,False,19,21
MNQ_v5,2025-01-07 22:59:00+01:00,2025-01-08 00:56:00+01:00,Short,6.0,395,404,9,21375.25,21394.75,-238.44,Stop Loss,Stop Loss,19.5,1.564,-1.269,,,403.0,,,,,-155.88,,82.56,,True,True,22,0
MNQ_v5,2025-01-08 04:54:00+01:00,2025-01-08 05:50:00+01:00,Long,10.0,438,446,8,21406.75,21395.0,-242.4,Stop Loss,Stop Loss,11.75,1.043,-1.915,,,,,,,,,,,,True,True,4,5
MNQ_v5,2025-01-08 07:35:00+01:00,2025-01-08 08:10:00+01:00,Short,4.0,461,466,5,21409.5,21380.75,227.04,Canal Exit,Canal Exit,25.25,1.703,-0.149,466.0,466.0,,0.0,0.0,224.08,224.08,,0.0,,False,False,False,7,8
MNQ_v5,2025-01-08 15:17:00+01:00,2025-01-08 15:59:00+01:00,Short,2.0,527,533,6,21344.5,21393.75,-198.48,Stop Loss,Stop Loss,49.25,1.208,-1.249,,,,,,,,,,,,False,True,15,15
MNQ_v5,2025-01-08 19:01:00+01:00,2025-01-08 20:11:00+01:00,Long,1.0,559,569,10,21316.0,21361.25,89.76,Canal Exit,Canal Exit,150.0,0.603,-0.247,564.0,569.0,,5.0,5.0,84.52,89.02,,4.5,,True,True,False,19,20
MNQ_v5,2025-01-09 00:21:00+01:00,2025-01-09 01:10:00+01:00,Long,2.0,597,604,7,21343.5,21301.0,-171.48,Stop Loss,Stop Loss,42.5,0.076,-1.365,,,604.0,,,,,-160.96,,10.52,,False,False,0,1
